city,population,include,migration_2020,unemployment_rate,median_income,median_age,summer_comfort_index,winter_comfort_index,cost_of_living_index,mean_commute_time,mean_school_expense,student_per_teacher,violent_crime_index,property_crime_index,sales_tax_rate,income_tax_rate,health_cost_index,water_quality_index,air_quality_index,white_percent,black_percent,asian_percent,native_american_percent,pacific_islander_percent,other_percent,multiple_percent,hispanic_percent,population_density,median_house_price
Hazel Dell,21650,1,0.112,0.062,48545,36.6,9.3,5.3,1.16,23.8,9471,20,14.6,48.6,0.084,0,0.776,0.47,0.42,0.728,0.021,0.048,0.004,0.004,0,0.04,0.154,4836,400100
Herron Island,101,0,-0.606,0.068,53077,73.9,9.2,5.3,1.34,31.2,9358,20.8,7.2,22.9,0.084,0,,,,1,0,0,0,0,0,0,0,,520100
High Bridge,2935,1,0.053,0.063,115192,44.9,9.1,5.3,1.675,31.8,9437,23.6,9.3,31.6,0.103,0,0.801,0.53,0.67,0.915,0,0.018,0,0,0,0.018,0.049,468,799300
Hobart,7201,1,0.063,0.054,83036,45.7,9.1,5.2,1.533,34.3,9262,21.8,10.3,35,0.1,0,0.817,0.6,0.74,0.906,0.004,0.015,0,0,0.003,0.034,0.039,383,770800
Hockinson,6249,1,0.148,0.062,79097,42.4,9,5,1.439,30.3,8608,20.2,9.2,31.3,0.077,0,0.776,0.47,0.69,0.91,0,0.027,0.001,0.002,0,0.043,0.016,415,546100
Hogans Corner,56,0,3,0.088,,61.5,8.6,5,0.914,25.8,10834,17.5,,,0.077,0,,,,1,0,0,0,0,0,0,0,,261400
Home,1989,1,0.543,0.068,56094,52.7,9.2,5.3,1.174,31.2,9358,20.8,10.1,31,0.099,0,0.8,0.6,0.75,0.973,0,0.011,0,0,0,0.015,0.001,235,364100
Hoodsport,110,1,0.329,0.077,40599,66.9,9,4.6,0.939,32.1,15192,15.2,11.5,34,0.085,0,0.811,0.5,0.88,1,0,0,0,0,0,0,0,351,309800
Hoquiam,8700,1,-0.045,0.088,33194,44.4,8.6,5,0.834,25.1,10741,18.8,10.5,50.6,0.088,0,0.833,0.52,0.86,0.845,0,0.003,0.049,0,0,0.027,0.076,914,227400
Humptulips,229,1,0.371,0.088,53125,50.4,8.7,4.4,0.869,25.8,24779,11.8,8.9,26.9,0.088,0,0.833,0.52,0.91,0.931,0,0,0.011,0,0,0.011,0.047,32,203000
